App,Url,Logo,Rating,Recommendation,Reviews,Review Link,Price,Small Business Size,Medium Business Size,Large Business Size,Description
Storage Commander Cloud,https://www.softwareadvice.com/au/property/storage-commander-profile/,https://www.softwareadvice.com/au/property/storage-commander-profile/,4.75,23,12,https://www.softwareadvice.com/au/property/storage-commander-profile/reviews/,3,Yes,Yes,Yes,"Storage Commander is an on-premise and cloud-based solution that enables businesses to manage self-storage operations, online rentals, maintenance costs and more. It uses global data centers, Europay, MasterCard, Visa (EMV) chip technology, biometrics and geolocation services to secure workflows and tenant payment details across locations.Storage Commander allows business owners to navigate, monitor and track various activities including revenue, lead conversions and occupancy using visualization tools on an interactive mobile dashboard. Managers can organize, record and store maintenance data including equipment costs and utilized resources, improving work order processes across facilities. Additionally, tenants can complete and sign rent leases electronically using e-signature capabilities.Storage Commander facilitates integration with various in-house devices and third-party systems for businesses to scan IDs, biometric fingerprints, barcodes and more. Pricing is available on request and support is extended via phone, email, live chat and other online measures."
Rentroom,https://www.softwareadvice.com/au/property/rentroom-profile/,https://www.softwareadvice.com/au/property/rentroom-profile/,4.5,21,4,https://www.softwareadvice.com/au/property/rentroom-profile/#reviews,1,Yes,Yes,No,"RentRoom is a property management tool designed to streamline the day-to-day responsibilities of property managers and landlords while simultaneously providing tenants with a convenient and unique experience with its' community features. RentRoom is designed to be highly user friendly for both managers and tenants and implementation of the system is quick and stress-free. The system specializes in maintenance management, electronic rent collection/reminders, streamlined tenant communication, and property accounting."
ResMan Property Management,https://www.softwareadvice.com/au/property/ensoware-resman-profile/,https://www.softwareadvice.com/au/property/ensoware-resman-profile/,4.5,18,354,https://www.softwareadvice.com/au/property/ensoware-resman-profile/reviews/,1,Yes,Yes,Yes,"ResMan is the industry-leading property management platform preferred by owners, operators and investors across the multifamily, affordable and commercial real estate marketplace. Our platform is built for the evolving needs of your business with a single, intuitive platform.With ResMan you get an open and scalable architecture that offers the choice and flexibility of an expanded product suite and streamlines comprehensive accounting, reporting, and property management capabilities. With a user-friendly UI/UX, ResMan makes the complex simple so you can save time and increase efficiencies across your business."
SKYLINE Software,https://www.softwareadvice.com/au/property/ssc-skyline-sbs-profile/,https://www.softwareadvice.com/au/property/ssc-skyline-sbs-profile/,3.39,16,38,https://www.softwareadvice.com/au/property/ssc-skyline-sbs-profile/reviews/,3,No,Yes,Yes,"SKYLINE from SS&C Technologies is a web-based property management and accounting solution suitable for small to midsize real-estate firms. Designed to handle an array or key operations, SKYLINE is capable of offering integrated tools for property management, accounting, tenant and lease management, financial reporting, maintenance scheduling and work order management.Key features in SKYLINE include a real-time reporting dashboard which allows users to review and assess the performance and operations of all properties from a single screen, an integrated stacking plan which provides color-coded details down to the unit level.At its core, SKYLINE provides GLAP accounting, tenant and lease tracking, customer relationship management, budgeting, automated scheduling and invoicing of complex pass-through calculations and escalations, ACH for accounts receivable and accounts payable, bank lockbox, web-based tenant payment portal for on-line payments, document management, insurance tracking, lease expiration monitors and much more.SKYLINE is suitable for commercial, retail, industrial, residential and mixed-use properties of all sizes."
Innago Tenant and Property Management,https://www.softwareadvice.com/au/property/innago-profile/,https://www.softwareadvice.com/au/property/innago-profile/,4.74,13,39,https://www.softwareadvice.com/au/property/innago-profile/reviews/,2,Yes,Yes,No,"Innago offers a cloud-based property management platform for landlords with small to midsize property portfolios. With Innago, users can collect rent, manage leases, collect signatures and manage tenants.Landlords can collect rent via ACH or credit cards. Users can set rents, configure late fees, waive fees if needed and manage recurring charges like parking fees and utility bills. Email reminders are sent to tenants before rent is due, when rent is due and if a payment is late. Innago also includes invoice generation, late fee assessment, account deposits and invoice tracking. Multiple bank accounts are supported.Esignature tools let tenants sign leases remotely from mobile or desktop devices. Landlords and tenants can access documents remotely as well, built-in lease templates allow users to configure rental amounts, lease dates and pet addendums. Users can also add, remove, and sublease tenants. Communication tools let users contact individuals or entire properties."
Building Stack,https://www.softwareadvice.com/au/property/domum-link-profile/,https://www.softwareadvice.com/au/property/domum-link-profile/,4.47,12,17,https://www.softwareadvice.com/au/property/domum-link-profile/reviews/,1,Yes,Yes,Yes,"Building Stack is a cloud-based property management solution suitable for businesses of all sizes. Key features include lease management, employee management, building maintenance, automated listing postings, tenant communication and reporting and online rent payments.Building Stack enables users to organize current vacancies and upcoming lease renewals, track the progress of apartments under repair, document tenant complaints, receive online rental payments and more. Tenants have the ability to view upcoming rental invoices and submit online payments.Building Stack automatically posts vacancies onto websites like Kijiji and more. Users can manage and keep track of potential tenants that respond to the automated postings through Building Stack. A custom company or building website can also be created and tailored to the user’s needs.Building Stack’s support team offers ongoing complementary management training, registers the tenants online and handles all support related needs through built-in live chat."
Total Management,https://www.softwareadvice.com/au/property/total-management-profile/,https://www.softwareadvice.com/au/property/total-management-profile/,4.23,10,89,https://www.softwareadvice.com/au/property/total-management-profile/reviews/,3,Yes,Yes,No,"Total Management is a cloud-based property management solution suitable for midsize to large organizations that manage apartments, mixed portfolio, REITs and commercial or retail space.Total Management helps users multitask by navigating multiple screens in a single web browser without using tabs, similar to the screens found in Quickbooks. Users can work on multiple windows at the same time and hit the save button in one window, without losing any unsaved work in any other windows. The solution offers the ability to navigate within the system based on a user's own preference.Total Management also helps in reducing time-consuming processes to just one step, including move-ins, move-outs and accounting tasks. Total Management offers additional features which include duplicate invoice catcher, employee work order texting, a CAM/Tax reconciliation system and more. It also features a live chat support system, so users can speak to a Total Management representative through the software.Total Management's tenant portal allows tenants to pay bills online, and the letter wizard helps users compose and duplicate invoices and letters."
PayProp Canada,https://www.softwareadvice.com/au/property/payprop-profile/,https://www.softwareadvice.com/au/property/payprop-profile/,4,9,3,https://www.softwareadvice.com/au/property/payprop-profile/#reviews,2,Yes,Yes,No,"PayProp is a cloud-based property management solution designed to help property managers collect, match and reconcile rental payments for their properties. Key features include payment automation, audit logging, arrears management and reporting.Automation allows you to control every aspect of rental payments, from sending invoices at the push of a button to automatically matching payments to tenants. PayProp will even calculate your management fee, pay your landlords and contractors, and issue payment receipts automatically across your entire portfolio.The platform’s unique bank-integrated client account lets you stay on top with a real-time list of tenants who have paid and tenants in arrears. Realtors can also send automated arrears reminders to tenants via e-mail, which is proven to result in more tenants paying (via the PayProp Tenant Portal).PayProp provides a dashboard with live information about incoming and outgoing payments, portfolio growth rate and management fees, and links to a complete overview of your portfolio.PayProp charges a percentage of the rental value processed by your business. If you don’t process any funds, you don’t pay the percentage!A world-class support team, based in Toronto, is available via phone and e-mail."
Condo Control Central,https://www.softwareadvice.com/au/property/condo-control-central-profile/,https://www.softwareadvice.com/au/property/condo-control-central-profile/,4.48,8,54,https://www.softwareadvice.com/au/property/condo-control-central-profile/reviews/,1,Yes,Yes,Yes,"Condo Control Central is a property management solution that provides an online communication and management platform for condos. It offers an online discussion forum, amenity booking, concierge management and more.An online file library lets residents store documents such as by-laws, homeowners association meeting minutes and financial statements. Property managers can build a public website for their condominium that allows them to poll residents, publish event calendars and share community details with residents.Condo Control Central provides a security and concierge console that allows security personnel to track authorized entry into a condominium. The package tracking feature lets users keep a log of packages received at the front desk and record signature upon pick up. Property managers can also set up an online store to sell keys, fobs, garage remotes and more.Monthly and annual pricing is available. Support is available by phone or fax."
FRONTSTEPS,https://www.softwareadvice.com/au/property/frontsteps-profile/,https://www.softwareadvice.com/au/property/frontsteps-profile/,3.57,8,21,https://www.softwareadvice.com/au/property/frontsteps-profile/reviews/,1,No,Yes,Yes,"FRONTSTEPS solutions improve communities by streamlining communication from management offices to homeowners. FRONTSTEPS provides an inclusive system for communities including accounting, communications, day-to-day operations, and access controls. Their software was created to build thriving communities and help management companies grow.Caliber (A FRONTSTEPS Company) accounting platform is fully custom and tailored to your specific community’s’ needs. Within their accounting realm, companies can choose from selecting caliber desktop, caliber mobile, and caliber anywhere. These options give management companies the opportunity to assess and keep track of work orders and violations while being away from their management offices, and when unable to connect to WIFI.Collectively, FRONTSTEPS offers innovative solutions to management companies while improving relationships and streamlining communication to homeowners across their communities"
Re-Leased,https://www.softwareadvice.com/au/property/re-leased-profile/,https://www.softwareadvice.com/au/property/re-leased-profile/,4.53,7,76,https://www.softwareadvice.com/au/property/re-leased-profile/reviews/,2,Yes,Yes,Yes,"Re-Leased is a cloud-based commercial property management solution. Key features include accounting, portfolio management, tenant communication, inspections, document storage and compliance management. The solution integrates with Xero and is able to syncs financial and tenant data with Xero in real time.Re-Leased sends alerts and reminders to property managers regarding payment dates and daily tasks. It also provides a calendar dashboard that displays key actions items such as lease expiries, rent reviews, property inspections and safety compliance. The solution offers analytics features that helps to pull portfolio, property and tenancy reports.Re-Leased allows administrators to assign access permissions. It also enables tenants to view lease terms and payment history, and they can log maintenance issues and track the progress of their request.Support is available via email and phone."
Property Vista,https://www.softwareadvice.com/au/property/property-vista-profile/,https://www.softwareadvice.com/au/property/property-vista-profile/,4.92,7,36,https://www.softwareadvice.com/au/property/property-vista-profile/reviews/,1,No,Yes,Yes,"Property Vista is a property management software solution that transforms how property managers build tenant relationships to increase business value through technology.Property Vista integrates all of the necessary tools for property managers to efficiently manage their business and improve the tenant experience - from prospective tenant applications to move-out inspections and everything in between, Property Vista’s intuitive platform helps property managers create a meaningful and modern tenant experience.With all of these solutions in one place, property managers can avoid costly and time consuming manual processes associated with prospective tenant screening, leasing, accounting, online payments, vendor management, inspections, maintenance requests and tenant communications.Services are offered on a subscription basis after a one-time setup fee that includes support via phone, email and product videos.Property Vista is what renters expect.What they think renting should be. Instantly on. Super flexible. Brilliantly convenient. All in one place. It’s time to think beyond the door."
rentredi,https://www.softwareadvice.com/au/property/rentredi-profile/,https://www.softwareadvice.com/au/property/rentredi-profile/,4.9,7,10,https://www.softwareadvice.com/au/property/rentredi-profile/#reviews,1,Yes,No,No,"RentRedi is landlord-tenant software for landlords to easily manage their properties.RentRedi provides an all-in-one platform that enables landlords to collect mobile rent payments, send in-app notifications, prescreen tenants, send and receive applications, list properties to Realtor.Com, Doorsteps, Zillow, Trulia, HotPads, and conduct background checks including credit, criminal, eviction reports with a customized leasing recommendation by TransUnion. Landlords can store and sign leases, create property reports, see payment history tracking, and manage maintenance problems with video.For tenants, RentRedi’s mobile app allows them to pay rent and set up automatic payments and rent reminders with their smartphone. They can also prequalify, apply, sign up for renters insurance, and submit repair requests with a short video of the issue—right from the app."
MRI Commercial Management,https://www.softwareadvice.com/au/property/mri-commercial-management-profile/,https://www.softwareadvice.com/au/property/mri-commercial-management-profile/,3.86,6,25,https://www.softwareadvice.com/au/property/mri-commercial-management-profile/reviews/,4,No,Yes,Yes,"MRI Commercial Management is built for commercial property managers. It offers real-time, actionable data which can be used to manage assets, all from the secure Alloy platform. Commercial Management (CM) clients include managers of industrial and office space, as well as shopping centers.MRI Commercial Management automates many of the necessary, daily tasks related to commercial property management, from recovery and late fee calculations to billing. It's also highly configurable; users have access to the same tools the developers use in order to customize the solution to the company workflow.The solution's core module, CM, manages operations—accounting, lease administration, reporting and more. The Viewpoint module provides consumable summaries of property and portfolio status.LeaseFlow aids the entire leasing process, while CM Electronic Lockbox was designed to process information straight from the bank. Its rule engine lets users specify exactly how payments need to be applied across the organization. MRI also offers additional features for small to midsize businesses and retail properties.MRI Commercial Management is suitable for companies managing more than 50 units. The solution can be installed on-premise or purchased on the MRI Software as a Service (SaaS) platform."
RemoteLandlord,https://www.softwareadvice.com/au/property/remotelandlord-profile/,https://www.softwareadvice.com/au/property/remotelandlord-profile/,4.85,4,13,https://www.softwareadvice.com/au/property/remotelandlord-profile/reviews/,2,Yes,Yes,No,"RemoteLandlord is a cloud-based property management solution that helps property managers and accountants with facility maintenance, lead tracking, bank reconciliation, cash receipts, maintaining a general ledger and more. It also provides a smartphone module that allows users to prepare real-time checklists of issues while examining properties. The solution offers a tenant portal, so tenants can check their balance information, current bills and make online payments.RemoteLandlord lets users scan and upload tenant and financial documents such as lease renewals, late notices, invoices and bank statements. It also provides a calendar feature that sends alerts to property managers. The solution also helps in invoice printing, late-fee calculation and tracking payments received.RemoteLandlord has a cash receipts module that processes bank deposits and tenant payments. It supports various payment types such as money orders, checks, electronic payments and credit cards. The solution also helps leasing agents by capturing information about prospective tenants.Support is available via email and phone."
Imperium,https://www.softwareadvice.com/au/property/imperium-profile/,https://www.softwareadvice.com/au/property/imperium-profile/,5,4,1,https://www.softwareadvice.com/au/property/imperium-profile/#reviews,2,No,Yes,Yes,"Imperium powered by Acumatica is a cloud-based solution built specifically to help growing developers, owner-operators and property managers manage every aspect of their development and property management businesses.Commercial leasing is complex, and each lease can vary depending on what you negotiate with your tenants. You need a property management and accounting system that can handle the complexity of all your tenant leases and still automate processes to help with billing, accounting and financial reporting. At the same time, you need something that is flexible, allowing your business to grow and flex as the market evolves.Imperium is built on the Acumatica ERP platform, delivering property management accounting integrated with a full suite of ERP functionality. Acumatica is built on a future-proof platform with open architecture for scalability, ease of use, and rapid integrations. Imperium and Acumatica deliver important capabilities that allow you to manage your business today and scale with you as it grows. Connected Business. Delivered"
MRI Affordable Housing,https://www.softwareadvice.com/au/property/mri-property-manager-profile/,https://www.softwareadvice.com/au/property/mri-property-manager-profile/,4.24,3,98,https://www.softwareadvice.com/au/property/mri-property-manager-profile/reviews/,2,No,Yes,Yes,"MRI Affordable Housing is intuitive, web-based solution that automates compliance processes, drives efficiency with process and role-based dashboards, and provides better insight into investment and financial data. Multi-layered subsidies and all federal and state funding programs are supported, including housing subsidized by the USDA, HUD, Tax Credits and Public Housing.MRI Affordable Housing is fully integrated with the company’s conventional multifamily property management and financials solutions, simplifying management for owners and operators with mixed portfolios and providing advanced reporting capabilities.MRI’s affordable housing software is used to manage the property operations and equity for more than 50 percent of the market including 1.8 million units in 21,000 properties, worth $67 billion in equity."
Axxerion,https://www.softwareadvice.com/au/property/axxerion-profile/,https://www.softwareadvice.com/au/property/axxerion-profile/,4.65,3,24,https://www.softwareadvice.com/au/property/axxerion-profile/reviews/,2,Yes,Yes,Yes,"Axxerion Property Management is an integrated suite of cloud-based property management and maintenance software designed keeping in mind small and mid-size property managers and owners. This suite helps property managers to automate the variety of functions - from lease management and service tickets to capital projects and accounting. The system supports a number of commercial and retail segments, including hotels and resorts, with portfolios ranging from fifty to thousands of units.The system offers a reservations function, as well as key management feature along with property maintenance (CMMS) and financial management modules. Users can track and manage service requests, work orders, preventive and scheduled maintenance, surveys, parts inventory, and financials and budgeting. Axxerion offers scheduling, reminders, and online access using mobile phones and tablets. Axxerion manages buildings, areas, assets, equipment, and fleet with their complete history, and budgeting for updates and upgrades Management can encompass the property itself, as well as documents, employees, inventory, assets, projects and even relationships.Axxerion contract lifecycle management (CLM) solution offers tools to create, edit, author, and store contracts. Owners can track lease, sublease, and financial transactions from a single interface. The solution also helps to manage maintenance requests and track corrective and preventive maintenance schedules."
Budgetrac Property Management,https://www.softwareadvice.com/au/property/budgetrac-construction-profile/,https://www.softwareadvice.com/au/property/budgetrac-construction-profile/,3.76,3,21,https://www.softwareadvice.com/au/property/budgetrac-construction-profile/reviews/,2,No,Yes,Yes,"Budgetrac is a cloud-based, comprehensive property management and accounting solution suitable for commercial properties such as industrial, office and retail.Budgetrac shares real-time information across organizations through role-based homepages and dashboards with critical date notifications and real-time analytics. This homepage allows users to manage aspects such as lease administration, space management, expense recoveries, property attributes and correspondence management.Budgetrac provides rent, receivables and vacancy tracking, database-wide searching, paperless work order generation and more. Lease amendments, options, charges, payment history and insurance are also available. The built-in CRM feature enables property managers to instantly notify internal team members as well as contact tenants.Financial reports are designed to allow users to run multiple reports within a single report, while maintaining the originally selected filters. Property managers can perform real-time comparison and analysis both at a financial and property level, including portfolio reporting."
RentPost,https://www.softwareadvice.com/au/property/rentpost-property-management-profile/,https://www.softwareadvice.com/au/property/rentpost-property-management-profile/,4.46,3,14,https://www.softwareadvice.com/au/property/rentpost-property-management-profile/reviews/,1,Yes,No,No,"RentPost is a cloud-based property management solution that handles priorities faced by property managers including unit and tenant management, work orders, contact management, automatic rent collection, and accounting. The solution is compatible with both Android and iOS-based mobile devices.The RentPost Dashboard provides information regarding payment status, pending cases where action is required from the owner’s end, transactions that are under online processing and more.RentPost incorporates a news feed, allowing property managers and other employees to see key business updates on a real-time basis that allows online rent collection to be integrated with the accounting component and reports all payments as they occur.RentPost’s dashboard includes different types of visual indicators including a heads-up display that shows a glimpse into key rental metrics, amount of rental payments that are owed in past, and the sum of money currently being processed in the online system. Support is available via email."
MultiSite Systems,https://www.softwareadvice.com/au/property/multisite-systems-profile/,https://www.softwareadvice.com/au/property/multisite-systems-profile/,4.58,3,12,https://www.softwareadvice.com/au/property/multisite-systems-profile/reviews/,1,Yes,Yes,No,"Multisite Systems is a cloud-based affordable housing property management solution that helps property management organizations manage properties with multiple layers of tax credits. Features include portfolio management, maintenance management, tenant management, owner portal, rent tracking and more.Multisite Systems features various accounting features such as cash management, accounts payable, general ledgers and more that help users to manage their banking requirements, keep track of vendors and invoices, view account summaries and generate financial reports. The solution also features a tenant module that allows users to manage day-to-day activities related to tenants such as move-ins and move-outs, transfers, eviction notices, rent collection and more.Additionally, Multisite Systems features vacancy tracking, a tenant database and payment processing functionality. It also offers users mobile applications for iOS and Android devices that help them to remotely manage their business operations.Support to users is made available via phone and email."
iRent,https://www.softwareadvice.com/au/property/irent-profile/,https://www.softwareadvice.com/au/property/irent-profile/,4.9,3,10,https://www.softwareadvice.com/au/property/irent-profile/#reviews,1,No,Yes,No,"iRent is a cloud-based property management solution for small and midsize property managers. Key features include tenant management, billing and financial management, role-based system access and work order management.iRent includes accounting tools to allow property managers bill tenants, process monthly rent, maintain digital copies of rent slips, set rules for late payments and other surcharges and pay utility bills. The homepage displays a list of all properties managed and tenant details within a selected property.Property managers can upload documents like rent applications, housing paperwork, lease agreements, rent slips, etc. and manage submission deadlines and expiry dates for critical documents. The tenant notification feature allows users to send bulk notifications for rent reminders, power blackouts, maintenance schedules and more.iRent is priced on a per unit per month subscription basis and offers support via phone and email."
RentMoola,https://www.softwareadvice.com/au/property/rentmoola-profile/,https://www.softwareadvice.com/au/property/rentmoola-profile/,4.67,3,3,https://www.softwareadvice.com/au/property/rentmoola-profile/#reviews,1,Yes,Yes,No,"RentMoola is a secure payment platform designed for residents to pay rent, access consumer credit , tenant insurance and security deposit alternatives. The platform accepts credit and debit cards, funds transfers, in-store cash payments, pre-authorized debit transactions. RentMoola reduces the need for high volume check collection and manual processes while improving the renter experience. It is designed to eliminate late or missed payments and increase retention. This solution integrates with other existing payment systems for faster reconciliation.Property managers can use the RentMoola platform to access working capital, share personalized communications, and access background and credit check services.Support is available via call, text, email, and an online help center."
